epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,395.503,1.06556,0.69837,1.29117,0.95907,0.89542,0.95679,0.63509,1.11894,0.61413,1.48736,0.0011882,0.0011882,0.0011882
43,404.711,1.02884,0.66265,1.26933,0.9461,0.9178,0.93536,0.62165,1.18176,0.63477,1.52149,0.0011684,0.0011684,0.0011684
44,413.81,1.0604,0.66692,1.2797,0.91827,0.86928,0.92987,0.55323,1.29716,0.72905,1.58206,0.0011486,0.0011486,0.0011486
45,422.869,1.0296,0.6678,1.26248,0.9534,0.93597,0.96263,0.64976,1.06583,0.5882,1.43124,0.0011288,0.0011288,0.0011288
46,432.036,1.02913,0.65952,1.2663,0.90401,0.91503,0.94351,0.63145,1.15482,0.63691,1.50868,0.001109,0.001109,0.001109
47,441.12,1.01939,0.6541,1.26276,0.93788,0.93464,0.94496,0.64751,1.10391,0.61555,1.45919,0.0010892,0.0010892,0.0010892
48,450.264,1.02906,0.63658,1.27439,0.95877,0.93464,0.96499,0.65114,1.05733,0.59358,1.42351,0.0010694,0.0010694,0.0010694
49,459.393,1.0207,0.63448,1.26235,0.94708,0.94118,0.96012,0.6454,1.12045,0.5896,1.44363,0.0010496,0.0010496,0.0010496
50,468.524,1.0229,0.63162,1.26875,0.94031,0.95425,0.96631,0.65775,1.1144,0.56393,1.45693,0.0010298,0.0010298,0.0010298
51,477.644,1.00448,0.62701,1.24957,0.95603,0.91503,0.97465,0.65091,1.10016,0.56193,1.4445,0.00101,0.00101,0.00101
52,486.797,1.0014,0.616,1.24437,0.89767,0.95425,0.96249,0.66322,1.08137,0.59882,1.45503,0.0009902,0.0009902,0.0009902
53,495.942,0.97843,0.61631,1.23843,0.95968,0.93332,0.96248,0.63695,1.09212,0.58722,1.43429,0.0009704,0.0009704,0.0009704
54,505.097,0.98229,0.60498,1.24689,0.91851,0.95765,0.9657,0.64948,1.13066,0.58092,1.49547,0.0009506,0.0009506,0.0009506
55,514.205,0.98216,0.60704,1.22562,0.95803,0.94771,0.95668,0.65465,1.11032,0.57714,1.46354,0.0009308,0.0009308,0.0009308
56,523.354,0.97076,0.58589,1.22953,0.95955,0.93032,0.9733,0.6715,1.11861,0.58215,1.45339,0.000911,0.000911,0.000911
57,532.612,0.95267,0.58583,1.23591,0.92292,0.94118,0.9614,0.66537,1.09445,0.59493,1.44183,0.0008912,0.0008912,0.0008912
58,541.784,0.9563,0.58175,1.22404,0.92051,0.94771,0.95523,0.66813,1.08494,0.56719,1.43043,0.0008714,0.0008714,0.0008714
59,550.842,0.95662,0.58499,1.22065,0.95859,0.96078,0.96605,0.67439,1.11876,0.50932,1.46258,0.0008516,0.0008516,0.0008516
60,559.999,0.95269,0.58024,1.21574,0.97305,0.944,0.97281,0.67777,1.09726,0.53509,1.45471,0.0008318,0.0008318,0.0008318
61,569.162,0.94886,0.57484,1.21358,0.967,0.95752,0.97587,0.66545,1.11754,0.54924,1.47546,0.000812,0.000812,0.000812
62,578.457,0.93032,0.5624,1.20276,0.96044,0.96732,0.97811,0.65857,1.09515,0.53715,1.4319,0.0007922,0.0007922,0.0007922
63,587.662,0.94208,0.56825,1.21923,0.96547,0.91364,0.96207,0.65001,1.15765,0.58527,1.47278,0.0007724,0.0007724,0.0007724
64,597.052,0.91809,0.57364,1.20154,0.95084,0.9281,0.95614,0.68801,1.06298,0.52622,1.42196,0.0007526,0.0007526,0.0007526
65,606.492,0.91321,0.56235,1.19483,0.97365,0.94118,0.95826,0.65858,1.07981,0.54725,1.4505,0.0007328,0.0007328,0.0007328
66,615.966,0.921,0.55954,1.19125,0.97561,0.95425,0.97719,0.67159,1.05471,0.51835,1.42002,0.000713,0.000713,0.000713
67,625.189,0.90775,0.54832,1.19207,0.97115,0.95425,0.97289,0.66849,1.11479,0.51528,1.49956,0.0006932,0.0006932,0.0006932
